title,link,content_excerpt,direct_classification,direct_reason,direct_confidence,indirect_classification,indirect_reason,indirect_confidence,final_label,final_reason
이대남은 역사상최초로 여자한테 개같이 패배하는 세대,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439935&page=1,이대남 이대녀한테 정치도 지고 공부도 짐 로스쿨 이대 빼고도 여초된지 오래에 판사 검사 신규임용도 여초 남성호르몬 도핑 맞고 경쟁하는데도 중국게임 하다가 여자들한테 개같이 패배함 ㅋㅋㅋ......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,간접 비방,"특정 세대(이대남)를 '여자한테 개같이 패배하는 세대'로 규정하며, 정치, 학업, 임용 등 다양한 영역에서 여성에게 패배했다는 내용을 담아 악의적으로 조롱하고 희화화함. '남성호르몬 도핑' 등의 표현으로 비하 의도를 드러냄.",0.90,간접 비방,"2차 확정: 특정 세대(이대남)를 '여자한테 개같이 패배하는 세대'로 규정하며, 정치, 학업, 임용 등 다양한 영역에서 여성에게 패배했다는 내용을 담아 악의적으로 조롱하고 희화화함. '남성호르몬 도핑' 등의 표현으로 비하 의도를 드러냄."
우좀사이비새끼들 : 일단 지들이 믿는 건 무조건 옳다고 결론내고 증거를,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439934&page=1,- dc official App......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이준석이 범보수야? 그냥 네오나치 혐오주의자 아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439933&page=1,- dc official App......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
나 우리 아빠한테는 이재명 뽑았다고 구라침,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439932&page=1,아빠가 나랑 엄마랑 투표하고 오니까 너 김문수 뽑았냐고 존나 공격적으로 엄마랑 나한테 추궁하길래 사이비 신도 보는거 같아서 무서워서 이재명 뽑았다고 구라침......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,특정 대상을 공격/조롱/명예훼손하려는 의도가 보이지 않음. 단순히 아버지와의 갈등 상황을 묘사하고 있을 뿐임.,0.90,일반글,직접 욕설 및 간접 비방 모두 아님
과거로 돌아가서  이재명뽑기vs윤석열뽑기,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439931&page=1,내용 없음...,일반글,직접적인 욕설 없음,1.00,간접 비방,"두 명의 정치인을 과거 시점으로 되돌아가 선택하는 상황을 가정하여, 현재 정치적 평가를 우회적으로 드러내고 있으며, 선택의 기로를 제시함으로써 특정 인물에 대한 부정적 인식을 간접적으로 표현하려는 의도가 있다고 판단됨.",0.80,간접 비방,"2차 확정: 두 명의 정치인을 과거 시점으로 되돌아가 선택하는 상황을 가정하여, 현재 정치적 평가를 우회적으로 드러내고 있으며, 선택의 기로를 제시함으로써 특정 인물에 대한 부정적 인식을 간접적으로 표현하려는 의도가 있다고 판단됨."
권력은 잔인하게 써야 합니다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439930&page=1,이재명 대통령 님이 어떻게 쓰실지 궁금하네 190 석 대한민국 역사상 최고의 권력을 누림......,일반글,직접적인 욕설 없음,1.00,간접 비방,"대통령의 권력 행사에 대한 우려를 '잔인하게 써야 합니다'라는 제목과 함께 표현하며, 부정적인 암시를 내포하고 있다고 판단됨. '190석 대한민국 역사상 최고의 권력'이라는 문구는 권력 남용에 대한 비판적 시각을 간접적으로 드러내는 것으로 보임.",0.80,간접 비방,"2차 확정: 대통령의 권력 행사에 대한 우려를 '잔인하게 써야 합니다'라는 제목과 함께 표현하며, 부정적인 암시를 내포하고 있다고 판단됨. '190석 대한민국 역사상 최고의 권력'이라는 문구는 권력 남용에 대한 비판적 시각을 간접적으로 드러내는 것으로 보임."
어쨌건 너흰 페미니스트들에게 또 진거야ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439929&page=1,너희 이대남이 옳다고? 6070 틀딱들이 옳다고? 아니? 두 집단 모두 개병신 엠창년들임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 느그들은 페미니스트들에게 다시 한번 패배했다ㅋㅋㅋㅋㅋㅋ 비동의 강간죄 드가자~~~......,욕설 사용,"개병신, 엠창년",1.00,미실행,1차에서 욕설 확정,0.00,욕설 사용,"1차 확정: 개병신, 엠창년"
이재명이 다른 나라 정상들하고,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439928&page=1,같이 회담하는 그림이 잘 안 그려짐 특히 트럼프하고 만나서 악수하고 회담하는 게 어색하게 상상이 됨......,일반글,직접적인 욕설 없음,1.00,간접 비방,"이재명이라는 특정 인물이 다른 나라 정상, 특히 트럼프와 회담하는 모습이 어색하게 상상된다는 내용으로, 잠재적인 외교 역량에 대한 의문을 제기하며 간접적으로 폄하하려는 의도가 엿보임",0.80,간접 비방,"2차 확정: 이재명이라는 특정 인물이 다른 나라 정상, 특히 트럼프와 회담하는 모습이 어색하게 상상된다는 내용으로, 잠재적인 외교 역량에 대한 의문을 제기하며 간접적으로 폄하하려는 의도가 엿보임"
계엄이후 정치유입됐는데 윤어게인이 맞냐 시발,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439927&page=1,"아니 계엄한 이유는 알겠는데, 그렇다고 계엄을 하면 그게 맞냐고.. 결국 이재명이 최대수혜자로 대통령 되어버렸는데 보수라는 놈들이 윤어게인 ㅇㅈㄹ하는 거 이거 맞는거냐..? 대가리아프다 정말......",욕설 사용,제목에 '시발'이라는 욕설이 직접적으로 사용됨,1.00,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '시발'이라는 욕설이 직접적으로 사용됨
"이준석,한동훈,홍준표 좆도 아닌 새끼들",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439926&page=1,민좆빨갱이들이 빨아주는건 다 이유가 있는거야......,욕설 사용,제목에 '좆'과 '새끼'라는 욕설이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆'과 '새끼'라는 욕설이 사용됨
국힘 당명 변경 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439925&page=1,내용 없음...,일반글,직접적인 욕설 없음,1.00,간접 비방,제목에서 '국힘'이라는 특정 정당의 당명 변경에 대해 비웃는 표현(ㅋㅋㅋㅋㅋㅋㅋㅋ)을 사용하여 해당 정당을 조롱하고 희화화하려는 의도가 있다고 판단됨. 내용이 없는 점 또한 조롱의 의도를 강화한다고 볼 수 있음.,0.80,간접 비방,2차 확정: 제목에서 '국힘'이라는 특정 정당의 당명 변경에 대해 비웃는 표현(ㅋㅋㅋㅋㅋㅋㅋㅋ)을 사용하여 해당 정당을 조롱하고 희화화하려는 의도가 있다고 판단됨. 내용이 없는 점 또한 조롱의 의도를 강화한다고 볼 수 있음.
그래서 재명이는 언제 계엄때리냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439924&page=1,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '재명이'는 이재명 더불어민주당 대표를 지칭하는 것으로 해석될 수 있으며, '계엄 때리냐'는 표현은 과거 권위주의 정권 시절의 강압적인 통치 방식을 연상시켜 이재명 대표를 부정적으로 비방하려는 의도로 해석될 수 있다. 사회적 이슈를 빗대어 상대를 낮추는 표현에 해당한다.",0.90,간접 비방,"2차 확정: 제목에서 '재명이'는 이재명 더불어민주당 대표를 지칭하는 것으로 해석될 수 있으며, '계엄 때리냐'는 표현은 과거 권위주의 정권 시절의 강압적인 통치 방식을 연상시켜 이재명 대표를 부정적으로 비방하려는 의도로 해석될 수 있다. 사회적 이슈를 빗대어 상대를 낮추는 표현에 해당한다."
어제 행복하게 투표소로 들어가는 신혼부부보고ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439923&page=1,2찍할려다 그거보고 1찍했는데 굿굿 ㅋㅋㅋ 니들만 행복할수없지 중국어나배워놔야지......,일반글,직접적인 욕설이 사용되지 않았습니다.,1.00,간접 비방,"""니들만 행복할수없지 중국어나배워놔야지...""라는 문맥은 특정 투표 행위를 한 집단을 조롱하며, 부정적 미래를 암시하여 비방하려는 의도로 해석될 수 있습니다.",0.90,간접 비방,"2차 확정: ""니들만 행복할수없지 중국어나배워놔야지...""라는 문맥은 특정 투표 행위를 한 집단을 조롱하며, 부정적 미래를 암시하여 비방하려는 의도로 해석될 수 있습니다."
틀구이가 죽으면 보수는 부활하는거다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439922&page=1,죽어라 그러면 산다......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이대남들은 꼭 욕을 쳐먹으면,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439920&page=1,다 스윗영포티 어쩌고 하면서 ㅈ86 40 50대 인줄 알더라? 30대도 이대남이라면 절레절레한다........,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
국힘은 이제 미래자체가 없음ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439919&page=1,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
난 17홍카 22윤카 25기가문수 찍었는데 국찜은 집토끼부터 잡아야지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439918&page=1,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
찢정권 정치떡밥 공격에 신날 야갤러는 개추ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439917&page=1,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '찢정권'이라는 표현을 사용하여 특정 정치 세력을 비하하고, 야갤러(온라인 커뮤니티 이용자)들이 그러한 공격에 동조할 것이라는 예측을 통해 해당 커뮤니티 이용자들을 조롱하고 있다. 이는 특정 대상에 대한 악의적 조롱을 암시적으로 표현한 것으로 판단된다.",0.85,간접 비방,"2차 확정: 제목에서 '찢정권'이라는 표현을 사용하여 특정 정치 세력을 비하하고, 야갤러(온라인 커뮤니티 이용자)들이 그러한 공격에 동조할 것이라는 예측을 통해 해당 커뮤니티 이용자들을 조롱하고 있다. 이는 특정 대상에 대한 악의적 조롱을 암시적으로 표현한 것으로 판단된다."
투표율 보니깐 이준석표 다 문수한테 가도 졌을것 같네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439916&page=1,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설이 사용되지 않았습니다.,1.00,간접 비방,"특정 정치인(이준석)의 지지표가 다른 정치인(문수)에게 갔어도 선거에서 졌을 것이라는 제목은, 특정 정치인의 영향력을 낮춰 평가하고 선거 패배를 기정사실화하여 조롱하는 의도로 해석될 수 있습니다.",0.85,간접 비방,"2차 확정: 특정 정치인(이준석)의 지지표가 다른 정치인(문수)에게 갔어도 선거에서 졌을 것이라는 제목은, 특정 정치인의 영향력을 낮춰 평가하고 선거 패배를 기정사실화하여 조롱하는 의도로 해석될 수 있습니다."
잘 모르는데 이거 키스마크냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439915&page=1,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설을 확인할 수 없음,1.00,일반글,본문 내용이 없어 특정 대상을 공격/조롱/명예훼손하려는 의도를 판단할 수 없음.,0.90,일반글,직접 욕설 및 간접 비방 모두 아님
이대남이 ㅈ으로보이노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439914&page=1,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 'ㅈ'이 직접적인 욕설의 은어적 표현으로 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 'ㅈ'이 직접적인 욕설의 은어적 표현으로 사용됨
20대 여자 35% 범보수권 지지 생각보다 높네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439913&page=1,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 없습니다.,1.00,일반글,본문 내용이 없어 특정 대상을 공격/조롱하려는 의도가 있는지 판단할 수 없음. 제목만으로는 단순 사실 констатациеј로 보인다.,0.80,일반글,직접 욕설 및 간접 비방 모두 아님
나도 이대남들 너무 싫음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439912&page=1,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설 단어 사용 여부를 판단할 수 없음,0.90,일반글,본문 내용이 없어 판단 불가,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
현재 4찍들 상황 ㄹㅇ..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439911&page=1,본문 내용을 찾을 수 없습니다....,일반글,"제목에 '4찍'이라는 표현이 있지만, 이는 직접적인 욕설이 아니므로 '일반글'로 분류합니다. 본문 내용이 없어 추가적인 판단은 불가합니다.",0.95,간접 비방,"제목에서 '4찍'이라는 표현을 사용하여 특정 정치 성향을 가진 사람들을 지칭하고, 그들의 현재 상황을 조롱하려는 의도가 있다고 판단됩니다. 이는 특정 대상을 비하하는 간접적인 표현에 해당합니다.",0.90,간접 비방,"2차 확정: 제목에서 '4찍'이라는 표현을 사용하여 특정 정치 성향을 가진 사람들을 지칭하고, 그들의 현재 상황을 조롱하려는 의도가 있다고 판단됩니다. 이는 특정 대상을 비하하는 간접적인 표현에 해당합니다."
지금 좆된건 이준석이 아니라 국민의힘이라니깐...,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439910&page=1,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '좆' 사용,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆' 사용
뭐? 단일화했으면 이겼다고? 내 탓이라고?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439909&page=1,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설 단어는 발견되지 않음,1.00,간접 비방,"제목에서 '단일화', '내 탓' 등의 표현을 사용하며 특정 정치적 상황 또는 인물을 지칭하는 듯한 뉘앙스를 풍겨, 간접적으로 특정 대상을 공격하거나 조롱하려는 의도가 있다고 판단된다.",0.80,간접 비방,"2차 확정: 제목에서 '단일화', '내 탓' 등의 표현을 사용하며 특정 정치적 상황 또는 인물을 지칭하는 듯한 뉘앙스를 풍겨, 간접적으로 특정 대상을 공격하거나 조롱하려는 의도가 있다고 판단된다."
2030이 우파성향 이어도 쓸모없는 이유,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439908&page=1,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설이 있는지 판단할 수 없음,0.95,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
민주당 장기 집권이 개소리가 아닌이유 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439907&page=1,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
집권여당 + 190석이면 무적 아니냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439906&page=1,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이준석. 복수에 성공 jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439905&page=1,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
팩트체크) 이준석이 단일화를 안해줘서 국힘이 졌다?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439904&page=1,https://m.dcinside.com/board/baseball_new11/18439253 가서 틀니 좆같으면 념글가게 댓글 부탁 대선 팩트체크) 정말 이준석이 단일화 안해서 국힘이 진걸까?? - 국내야구 갤러리 안녕 야갤럼들아 팩트만 체크해주는 팩트체크 형이야오늘은 일부 국힘 지지자들이 주장하는“이준석이 단일화 안해서 국힘이 진거다!” 라는 주장에 대...,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,간접 비방,"게시글 내용에 링크된 글에서 특정 정치 성향 지지자들을 비하하는 표현(예: '틀니')이 사용되었고, 이는 간접적으로 특정 대상을 공격하려는 의도로 해석될 수 있습니다.",0.80,간접 비방,"2차 확정: 게시글 내용에 링크된 글에서 특정 정치 성향 지지자들을 비하하는 표현(예: '틀니')이 사용되었고, 이는 간접적으로 특정 대상을 공격하려는 의도로 해석될 수 있습니다."
틀구이들 레전드긴 하네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439902&page=1,결과 승복도 못하고 중도층인 이대남 적대하고 그냥 저지능망상병 환자인데?......,일반글,직접적인 욕설 없음,1.00,간접 비방,"""틀구이들""이라는 표현을 사용하여 특정 연령대의 사람들을 비하하고, 그들을 ""저지능망상병 환자""에 빗대어 조롱하고 있어, 특정 대상을 공격/조롱하려는 의도가 있다고 판단됨.",0.90,간접 비방,"2차 확정: ""틀구이들""이라는 표현을 사용하여 특정 연령대의 사람들을 비하하고, 그들을 ""저지능망상병 환자""에 빗대어 조롱하고 있어, 특정 대상을 공격/조롱하려는 의도가 있다고 판단됨."
국힘=걍 뭔짓을 해도 틀딱당 이미지임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439901&page=1,권성동 와꾸만 봐도 토나오잖아? 이걸로 말 다했음......,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 정치 집단을 '틀딱당'이라고 비하하고, 특정 정치인의 외모를 혐오스럽게 표현하여 조롱하고 있음. 이는 해당 집단과 인물에 대한 부정적 이미지를 고착화하려는 의도로 해석될 수 있음.",0.90,간접 비방,"2차 확정: 특정 정치 집단을 '틀딱당'이라고 비하하고, 특정 정치인의 외모를 혐오스럽게 표현하여 조롱하고 있음. 이는 해당 집단과 인물에 대한 부정적 이미지를 고착화하려는 의도로 해석될 수 있음."
이대남이 한줌이긴하네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439900&page=1,그냥 뒤져라 세상에 아무런 영향력 없는 좆밥새끼들......,욕설 사용,좆밥,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 좆밥
이제 윤석열도 노무현 따라가는 거냐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439899&page=1,그 방법밖에 없지 않을까......,일반글,직접적인 욕설 없음,1.00,간접 비방,윤석열 대통령을 고 노무현 대통령에 빗대어 특정 상황을 암시하며 부정적 맥락으로 해석될 여지가 있음. '그 방법밖에 없지 않을까'라는 내용이 맥락상 긍정적이지 않음.,0.80,간접 비방,2차 확정: 윤석열 대통령을 고 노무현 대통령에 빗대어 특정 상황을 암시하며 부정적 맥락으로 해석될 여지가 있음. '그 방법밖에 없지 않을까'라는 내용이 맥락상 긍정적이지 않음.
이준석 출구조사나오자마자 보수재건 아가리터는건 WWE 인증이노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439898&page=1,ㅋㅋ......,일반글,직접적인 욕설 없음,0.95,간접 비방,"이준석'이라는 특정 인물을 지칭하며, '보수재건 아가리터는건 WWE 인증이노'라는 표현을 사용하여 그의 발언을 조롱하고 WWE라는 맥락을 통해 희화화하고 있다.",0.90,간접 비방,"2차 확정: 이준석'이라는 특정 인물을 지칭하며, '보수재건 아가리터는건 WWE 인증이노'라는 표현을 사용하여 그의 발언을 조롱하고 WWE라는 맥락을 통해 희화화하고 있다."
지난대선에서 딱 이준석표뺀차이로 졌네.jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439897&page=1,진짜 ㅈㄴ웃기노 ㅋㅋㅋ......,욕설 사용,ㅈㄴ,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: ㅈㄴ
부정선거가 의심되는 이유 : 부정선거가 있다고 확신하고 증거를 찾으니까,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439895&page=1,- dc official App......,일반글,직접적인 욕설 없음,1.00,일반글,"게시글은 부정선거에 대한 의혹 제기를 다루고 있으며, 특정 대상을 공격하거나 조롱하려는 의도가 있다고 보기 어렵습니다.",0.80,일반글,직접 욕설 및 간접 비방 모두 아님
